task_id,people,timestamp,ground_id,location
6,8,2022-07-30 19:11:00,20248,YUL
272,2,2022-07-30 19:11:00,20248,YUL
482,9,2022-07-30 21:56:00,20248,YUL
1297,1,2022-07-30 21:11:00,20248,YUL
1285,1,2022-07-30 21:11:00,20248,YUL
10,2,2022-07-30 07:10:00,20249,YVR
139,1,2022-07-30 07:10:00,20249,YVR
404,1,2022-07-30 07:10:00,20249,YVR
97,1,2022-07-30 07:10:00,20249,YVR
621,1,2022-07-30 08:30:00,20249,YVR
768,1,2022-07-30 09:00:00,20249,YVR
773,1,2022-07-30 09:00:00,20249,YVR
335,2,2022-07-30 10:30:00,20249,YVR
346,2,2022-07-30 14:40:00,20249,YVR
684,2,2022-07-30 15:40:00,20249,YVR
26,6,2022-07-30 20:30:00,20250,YYZ
115,4,2022-07-30 20:30:00,20250,YYZ
143,4,2022-07-30 20:30:00,20250,YYZ
532,2,2022-07-30 20:30:00,20250,YYZ
195,3,2022-07-30 20:30:00,20250,YYZ
987,1,2022-07-30 20:30:00,20250,YYZ
1059,1,2022-07-30 20:30:00,20250,YYZ
1081,1,2022-07-30 20:30:00,20250,YYZ
1194,1,2022-07-30 20:30:00,20250,YYZ
1229,1,2022-07-30 20:30:00,20250,YYZ
690,2,2022-07-30 20:30:00,20250,YYZ
1186,1,2022-07-30 20:30:00,20250,YYZ
124,5,2022-07-31 11:00:00,20251,YYZ
878,3,2022-07-31 11:00:00,20253,YYZ
445,2,2022-07-31 11:00:00,20255,YYZ
100,3,2022-07-31 11:00:00,20255,YYZ
694,2,2022-07-31 12:50:00,20255,YYZ
215,3,2022-07-31 20:30:00,20256,YYZ
383,2,2022-07-31 20:30:00,20256,YYZ
517,2,2022-07-31 20:30:00,20256,YYZ
150,2,2022-08-01 11:10:00,20258,YYZ
990,1,2022-08-01 11:10:00,20258,YYZ
1037,1,2022-08-01 11:10:00,20258,YYZ
1055,1,2022-08-01 11:10:00,20258,YYZ
1180,1,2022-08-01 11:10:00,20258,YYZ
235,1,2022-08-01 11:10:00,20258,YYZ
249,1,2022-08-01 11:10:00,20258,YYZ
259,1,2022-08-01 11:10:00,20258,YYZ
826,1,2022-08-01 11:30:00,20258,YYZ
1224,1,2022-08-01 12:00:00,20258,YYZ
1450,1,2022-08-01 12:32:30,20258,YYZ
629,3,2022-08-01 11:00:00,20259,YYZ
1074,2,2022-08-01 11:00:00,20259,YYZ
1096,2,2022-08-01 11:00:00,20259,YYZ
1163,2,2022-08-01 11:00:00,20259,YYZ
1308,1,2022-08-01 11:00:00,20259,YYZ
630,2,2022-08-01 11:00:00,20261,YYZ
1122,1,2022-08-01 11:00:00,20261,YYZ
260,4,2022-08-01 11:30:00,20261,YYZ
995,2,2022-08-01 12:10:00,20261,YYZ
1239,5,2022-08-01 12:30:00,20261,YYZ
713,2,2022-08-01 20:30:00,20262,YYZ
226,3,2022-08-01 20:30:00,20262,YYZ
227,3,2022-08-01 20:30:00,20262,YYZ
229,3,2022-08-01 20:30:00,20262,YYZ
261,3,2022-08-01 20:30:00,20262,YYZ
917,1,2022-08-01 20:30:00,20262,YYZ
1036,1,2022-08-01 20:30:00,20262,YYZ
1231,1,2022-08-01 20:30:00,20262,YYZ
199,3,2022-08-01 14:01:00,20263,YYZ
594,2,2022-08-01 14:01:00,20263,YYZ
23981,1,2022-08-03 11:27:25.714286,20276,YYZ
23973,2,2022-08-03 11:00:00,20278,YYZ
23972,1,2022-08-03 11:27:25.714286,20280,YYZ
23762,1,2022-08-09 11:46:00,20335,YYZ
23558,1,2022-08-09 12:23:15,20335,YYZ
23334,2,2022-08-09 20:30:00,20338,YYZ
11386,1,2022-08-10 20:30:00,20350,YYZ
23801,1,2022-08-11 12:48:00,20354,YYZ
23459,1,2022-08-11 12:48:17.142857,20354,YYZ
12554,1,2022-08-11 12:48:17.142857,20354,YYZ
12580,1,2022-08-11 12:48:17.142857,20354,YYZ
11615,1,2022-08-11 12:48:17.142857,20354,YYZ
11619,1,2022-08-11 12:48:17.142857,20354,YYZ
23315,1,2022-08-11 12:48:17.142857,20354,YYZ
23445,1,2022-08-11 12:48:17.142857,20354,YYZ
11135,1,2022-08-11 12:50:00,20354,YYZ
11168,1,2022-08-11 12:50:00,20354,YYZ
11186,1,2022-08-11 12:50:00,20354,YYZ
11246,1,2022-08-11 12:50:00,20354,YYZ
11264,1,2022-08-11 12:50:00,20354,YYZ
11285,1,2022-08-11 12:50:00,20354,YYZ
11329,1,2022-08-11 13:50:00,20354,YYZ
11354,1,2022-08-11 13:50:00,20354,YYZ
11435,1,2022-08-11 13:50:00,20354,YYZ
11461,1,2022-08-11 13:50:00,20354,YYZ
8183,1,2022-08-11 13:50:00,20354,YYZ
23744,1,2022-08-11 13:50:00,20354,YYZ
23887,2,2022-08-11 20:30:00,20356,YYZ
23413,1,2022-08-11 20:30:00,20356,YYZ
18362,5,2022-08-12 20:30:00,20363,YYZ
