task_id,people,timestamp,ground_id,location
16838,5,2022-10-15 11:00:00,24886,YYZ
23035,5,2022-10-15 11:00:00,24886,YYZ
16803,6,2022-10-15 11:00:00,24886,YYZ
1455,2,2022-10-15 11:49:30,24886,YYZ
16836,3,2022-10-15 15:45:00,24888,YUL
16805,3,2022-10-15 15:45:00,24888,YUL
15830,2,2022-10-15 15:45:00,24888,YUL
14369,2,2022-10-15 16:00:00,24888,YUL
16424,3,2022-10-15 12:30:00,24895,YUL
16436,4,2022-10-15 13:13:00,24895,YUL
15915,2,2022-10-15 12:30:00,24895,YUL
13919,8,2022-10-15 14:13:00,24895,YUL
1834,1,2022-10-15 13:59:00,24895,YUL
22606,5,2022-10-15 11:00:00,24896,YYZ
16841,5,2022-10-15 11:00:00,24896,YYZ
17011,3,2022-10-16 10:05:00,24900,YUL
15849,2,2022-10-16 10:05:00,24900,YUL
15040,3,2022-10-16 10:05:00,24900,YUL
19059,19,2022-10-16 17:26:53.684211,24901,YYZ
12750,1,2022-10-16 16:50:00,24901,YYZ
22840,2,2022-10-16 17:20:00,24901,YYZ
22275,1,2022-10-16 17:20:00,24901,YYZ
22185,1,2022-10-16 17:31:18.461538,24901,YYZ
2542,1,2022-10-16 17:50:00,24901,YYZ
7911,1,2022-10-16 18:20:00,24901,YYZ
16986,3,2022-10-16 15:45:00,24904,YUL
17008,4,2022-10-16 16:00:00,24904,YUL
16403,6,2022-10-16 16:49:18.461538,24904,YUL
16417,6,2022-10-16 16:49:18.461538,24904,YUL
10768,1,2022-10-16 16:17:00,24904,YUL
10788,5,2022-10-16 17:15:00,24904,YUL
6139,1,2022-10-16 16:49:18.461538,24904,YUL
22278,4,2022-10-16 17:25:00,24904,YUL
16983,2,2022-10-16 12:30:00,24914,YVR
16984,2,2022-10-16 12:30:00,24914,YVR
16987,2,2022-10-16 12:30:00,24914,YVR
16835,2,2022-10-16 12:30:00,24914,YVR
15904,4,2022-10-16 12:30:00,24914,YVR
16391,5,2022-10-17 06:35:00,24917,YYZ
17162,3,2022-10-17 13:50:00,24918,YVR
17041,3,2022-10-17 13:50:00,24918,YVR
17066,3,2022-10-17 13:50:00,24918,YVR
17079,4,2022-10-17 13:50:00,24918,YVR
22875,1,2022-10-17 15:05:00,24918,YVR
19153,7,2022-10-17 11:50:00,24919,YYZ
17054,2,2022-10-17 12:09:50.400000,24919,YYZ
17059,2,2022-10-17 12:09:50.400000,24919,YYZ
16842,2,2022-10-17 12:09:50.400000,24919,YYZ
11624,1,2022-10-17 12:09:50.400000,24919,YYZ
11638,1,2022-10-17 12:09:50.400000,24919,YYZ
19048,25,2022-10-17 11:00:00,24921,YYZ
22221,7,2022-10-17 11:00:00,24921,YYZ
2573,6,2022-10-17 11:44:34.285714,24921,YYZ
19151,7,2022-10-17 17:54:00,24925,YYZ
19056,6,2022-10-17 18:44:43.622828,24925,YYZ
19074,9,2022-10-17 18:44:43.622828,24925,YYZ
17019,9,2022-10-17 18:44:43.622828,24925,YYZ
17020,9,2022-10-17 18:44:43.622828,24925,YYZ
17038,2,2022-10-17 21:14:17.142857,24925,YYZ
17078,6,2022-10-17 21:14:17.142857,24925,YYZ
17080,6,2022-10-17 21:14:17.142857,24925,YYZ
17089,6,2022-10-17 21:14:17.142857,24925,YYZ
16837,6,2022-10-17 21:19:30,24925,YYZ
23079,1,2022-10-17 20:00:00,24925,YYZ
15502,10,2022-10-17 23:36:51.428571,24925,YYZ
23174,23,2022-10-17 22:04:17.142857,24925,YYZ
14312,3,2022-10-17 18:39:00,24925,YYZ
22720,3,2022-10-17 23:35:43.622828,24925,YYZ
7358,16,2022-10-17 19:18:03.622828,24925,YYZ
7727,3,2022-10-17 21:58:43.622828,24925,YYZ
17157,4,2022-10-17 11:15:00,24927,YUL
16967,7,2022-10-17 12:07:00,24927,YUL
17149,4,2022-10-17 15:45:00,24929,YUL
17152,4,2022-10-17 15:45:00,24929,YUL
16970,3,2022-10-17 15:45:00,24929,YUL
17034,3,2022-10-17 15:45:00,24929,YUL
16796,11,2022-10-17 17:04:30,24929,YUL
8259,8,2022-10-18 11:45:00,24932,YYZ
15975,5,2022-10-18 06:35:00,24938,YYZ
17281,1,2022-10-18 12:30:00,24942,YYC
17304,1,2022-10-18 12:30:00,24942,YYC
12769,1,2022-10-18 16:00:00,24942,YYC
15969,5,2022-10-19 06:35:00,24949,YYZ
1479,3,2022-10-19 07:23:00,24949,YYZ
17770,4,2022-10-19 13:50:00,24950,YVR
22368,5,2022-10-19 13:50:00,24950,YVR
22341,4,2022-10-19 13:50:00,24950,YVR
11732,8,2022-10-19 14:57:12,24950,YVR
2373,2,2022-10-19 14:56:00,24950,YVR
1594,5,2022-10-19 15:08:27,24950,YVR
1563,4,2022-10-19 15:08:27,24950,YVR
23928,2,2022-10-19 13:00:00,24951,YYC
22929,3,2022-10-19 16:18:00,24951,YYC
10573,1,2022-10-19 16:00:00,24951,YYC
22290,4,2022-10-19 10:05:00,24953,YUL
15526,4,2022-10-19 10:05:00,24953,YUL
22598,1,2022-10-19 10:05:00,24953,YUL
2300,4,2022-10-19 10:50:00,24953,YUL
19045,17,2022-10-19 15:45:00,24955,YUL
15146,3,2022-10-19 16:00:00,24955,YUL
12384,1,2022-10-19 15:45:00,24955,YUL
11711,3,2022-10-19 17:00:00,24955,YUL
8261,16,2022-10-19 17:27:42.352941,24955,YUL
19173,42,2022-10-20 18:14:28.965517,24967,YYZ
19146,46,2022-10-20 21:17:04.390244,24967,YYZ
16976,2,2022-10-20 19:18:46.108374,24967,YYZ
16390,16,2022-10-20 22:09:14.825027,24967,YYZ
10759,1,2022-10-20 18:14:18.461538,24967,YYZ
8457,37,2022-10-20 19:18:46.108374,24967,YYZ
8461,1,2022-10-20 21:15:36,24967,YYZ
2321,1,2022-10-20 21:48:46.108374,24967,YYZ
2323,24,2022-10-20 22:09:14.825027,24967,YYZ
15962,5,2022-10-20 06:35:00,24968,YYZ
22871,3,2022-10-20 12:30:00,24973,YVR
17280,2,2022-10-20 12:30:00,24973,YVR
17284,2,2022-10-20 12:30:00,24973,YVR
17292,3,2022-10-20 12:30:00,24973,YVR
15848,1,2022-10-20 12:30:00,24973,YVR
15852,2,2022-10-20 12:30:00,24973,YVR
16697,5,2022-10-21 06:35:00,24975,YYZ
19192,11,2022-10-21 13:00:00,24977,YVR
18551,2,2022-10-21 13:00:00,24977,YVR
17227,2,2022-10-21 16:00:00,24977,YVR
13939,1,2022-10-21 16:00:00,24977,YVR
14000,3,2022-10-21 18:00:00,24977,YVR
10708,1,2022-10-21 17:32:43.636364,24977,YVR
10731,9,2022-10-21 17:32:43.636364,24977,YVR
6138,3,2022-10-21 18:40:00,24977,YVR
2357,2,2022-10-21 18:45:00,24977,YVR
22244,1,2022-10-21 11:00:00,24978,YYZ
18340,2,2022-10-21 14:20:00,24979,YYC
23168,1,2022-10-21 16:00:00,24979,YYC
18547,7,2022-10-21 20:49:00,24985,YYZ
18137,11,2022-10-21 11:00:00,24989,YUL
17237,7,2022-10-21 10:05:00,24989,YUL
12332,1,2022-10-21 10:05:00,24989,YUL
23976,1,2022-10-21 10:05:00,24989,YUL
2303,7,2022-10-21 10:52:08.571429,24989,YUL
1873,9,2022-10-21 11:43:38.181818,24989,YUL
19361,1,2022-10-22 11:00:00,25003,YYZ
22343,1,2022-10-22 08:10:00,25004,YUL
23024,8,2022-10-22 08:10:00,25004,YUL
23173,5,2022-10-22 06:35:00,25006,YYZ
23010,5,2022-10-23 06:35:00,25009,YYZ
19188,10,2022-10-23 12:30:00,25015,YVR
18536,2,2022-10-23 12:30:00,25015,YVR
18325,4,2022-10-23 16:00:00,25015,YVR
17217,1,2022-10-23 12:30:00,25015,YVR
12312,9,2022-10-23 17:30:00,25015,YVR
23244,1,2022-10-23 17:30:00,25015,YVR
10589,2,2022-10-23 18:15:00,25015,YVR
10594,2,2022-10-23 18:15:00,25015,YVR
8275,4,2022-10-23 18:45:00,25015,YVR
22393,9,2022-10-23 10:05:00,25016,YUL
19037,17,2022-10-23 15:45:00,25021,YUL
15926,3,2022-10-23 16:00:00,25021,YUL
22321,1,2022-10-23 15:45:00,25021,YUL
22254,3,2022-10-23 17:10:00,25021,YUL
22842,4,2022-10-23 17:26:00,25021,YUL
22797,26,2022-10-23 21:00:24,25023,YYZ
2375,24,2022-10-23 22:09:07.368421,25023,YYZ
8257,13,2022-10-24 11:47:08.571429,25025,YYZ
19285,17,2022-10-24 17:54:00,25027,YYZ
19241,19,2022-10-24 17:54:00,25027,YYZ
18492,5,2022-10-24 20:00:00,25027,YYZ
18159,8,2022-10-24 21:10:00,25027,YYZ
16401,2,2022-10-24 18:44:17.142857,25027,YYZ
23220,5,2022-10-24 18:44:17.142857,25027,YYZ
11705,1,2022-10-24 20:44:17.142857,25027,YYZ
10584,18,2022-10-24 22:06:37.894737,25027,YYZ
8256,4,2022-10-24 22:00:00,25027,YYZ
2365,5,2022-10-24 19:15:29.142857,25027,YYZ
2377,1,2022-10-24 20:44:17.142857,25027,YYZ
1581,6,2022-10-24 22:09:00,25027,YYZ
22765,5,2022-10-24 06:35:00,25034,YYZ
18838,11,2022-10-24 13:50:00,25035,YVR
12781,1,2022-10-24 13:50:00,25035,YVR
10924,1,2022-10-24 13:50:00,25035,YVR
2592,9,2022-10-24 15:06:21.818182,25035,YVR
18837,17,2022-10-24 11:00:00,25038,YYZ
23011,1,2022-10-24 11:00:00,25038,YYZ
22356,5,2022-10-25 06:35:00,25042,YYZ
18613,2,2022-10-25 12:30:00,25047,YYC
23109,1,2022-10-25 16:00:00,25047,YYC
22644,1,2022-10-25 18:00:00,25047,YYC
