task_id,people,timestamp,ground_id,location
59,9,2022-07-30 10:26:00,7,YYZ
74,9,2022-07-30 15:05:00,12,YYZ
530,3,2022-07-30 15:05:00,12,YYZ
643,5,2022-07-30 15:05:00,12,YYZ
1043,3,2022-07-30 15:05:00,12,YYZ
1447,1,2022-07-30 15:05:00,12,YYZ
338,3,2022-07-30 10:20:00,15,YYZ
84,9,2022-07-30 15:31:00,17,YYZ
507,4,2022-07-30 15:54:00,17,YYZ
552,4,2022-07-30 15:54:00,17,YYZ
602,5,2022-07-30 15:58:20,17,YYZ
1269,1,2022-07-30 15:45:00,17,YYZ
1270,10,2022-07-30 16:00:00,17,YYZ
105,11,2022-07-30 16:36:00,19,YUL
22,15,2022-07-30 17:23:00,20,YYZ
138,7,2022-07-30 17:18:00,21,YYZ
873,12,2022-07-30 17:18:00,21,YYZ
1342,1,2022-07-30 17:18:00,21,YYZ
350,3,2022-07-30 10:23:00,23,YUL
1278,1,2022-07-30 15:33:00,26,YYC
474,3,2022-07-30 11:52:00,32,YUL
785,3,2022-07-30 11:52:00,32,YUL
1448,1,2022-07-30 12:06:00,32,YUL
49,3,2022-07-30 00:07:00,34,YUL
197,6,2022-07-30 15:05:00,35,YVR
824,7,2022-07-30 15:55:00,35,YVR
559,2,2022-07-30 08:53:00,39,YUL
2,8,2022-07-30 17:09:00,42,YUL
35,2,2022-07-30 17:09:00,42,YUL
40,2,2022-07-30 17:09:00,42,YUL
816,2,2022-07-30 22:09:00,42,YUL
919,2,2022-07-30 22:09:00,42,YUL
428,5,2022-07-30 11:00:00,44,YUL
742,3,2022-07-30 11:00:00,44,YUL
882,2,2022-07-30 16:50:00,45,YYC
496,12,2022-07-30 11:00:00,51,YYZ
1305,1,2022-07-30 11:00:00,51,YYZ
1307,1,2022-07-30 11:00:00,51,YYZ
1366,1,2022-07-30 11:09:00,51,YYZ
1369,1,2022-07-30 11:09:00,51,YYZ
1405,1,2022-07-30 11:18:00,51,YYZ
1410,1,2022-07-30 11:19:20,51,YYZ
1445,1,2022-07-30 11:19:20,51,YYZ
888,3,2022-07-30 17:08:43.636364,56,YUL
25,5,2022-07-30 00:42:00,59,YYZ
205,2,2022-07-30 00:42:00,59,YYZ
1330,1,2022-07-30 17:08:43.636364,61,YUL
433,4,2022-07-30 11:23:00,63,YUL
849,2,2022-07-30 11:36:00,63,YUL
867,5,2022-07-30 11:40:00,63,YUL
889,1,2022-07-30 16:09:00,67,YYC
1352,1,2022-07-30 09:03:00,70,YUL
31,13,2022-07-30 11:10:00,71,YYZ
270,6,2022-07-30 11:19:20,71,YYZ
406,5,2022-07-30 11:20:00,71,YYZ
217,8,2022-07-30 17:10:00,75,YYZ
758,4,2022-07-30 17:10:00,75,YYZ
1220,8,2022-07-30 17:10:00,75,YYZ
791,12,2022-07-30 17:10:00,75,YYZ
500,5,2022-07-30 02:42:00,78,YYZ
231,5,2022-07-30 16:21:00,82,YUL
502,8,2022-07-30 16:21:00,82,YUL
44,11,2022-07-30 16:03:00,84,YYZ
845,2,2022-07-30 16:22:20,84,YYZ
861,2,2022-07-30 16:22:20,84,YYZ
